Authors,Title,Year,Source title,Processed_Abstract,Processed_Keywords,Algorithms_in_Abstract_Expanded_New,Algorithms_in_Keywords_Expanded_New
Dubost C.; Humbert P.; Oudre L.; Labourdette C.; Vayatis N.; Vidal P.-P.,Quantitative assessment of consciousness during anesthesia without EEG data,2021,Journal of Clinical Monitoring and Computing,assessing depth anesthesia doa daily challenge anesthesiologists best assessment depth anesthesia commonly thought one made doctor charge patient evaluation based integration several parameters including epidemiological pharmacological physiological data developing protocol record synchronously parameters aim evaluation made algorithm hypothesis standard parameters recorded anesthesia without eeg could provide good insight consciousness level patient developed complete solution highresolution longitudinal followup patients anesthesia hidden markov model hmm trained database order predict assess states based four physiological variables adjusted consciousness level heart rate hr mean blood pressure meanbp respiratory rate rr aa inspiratory concentration aafi without using eeg recordings patients undergoing general anesthesia hernial inguinal repair included informed consent algorithm tested 30 patients percentage error identify actual state among awake loc anesthesia roc emergence 18 protocol constitutes first step way towards multimodal approach anesthesia fact first classifier already demonstrated good predictability encouraging future indeed first model merely proof concept encourage research ways field machine learning anesthesia © 2020 springer nature bv,anesthesia data base depth anesthesia machine learning prediction,['Machine Learning'],['Machine Learning']
Afshar S.; Boostani R.; Sanei S.,A Combinatorial Deep Learning Structure for Precise Depth of Anesthesia Estimation from EEG Signals,2021,IEEE Journal of Biomedical and Health Informatics,electroencephalography eeg commonly used measure depth anesthesia doa eeg reflects surgical pain state brain however precise realtime estimation doa index painful surgical operations challenging due problems postoperative complications accidental awareness tackle problems propose new combinatorial deep learning structure involving convolutional neural networks inspired inception module bidirectional long shortterm memory attention layer proposed model uses eeg signal continuously predicts bispectral index bis trained large dataset mostly general anesthesia cases receiving sedationanalgesia spinal anesthesia despite imbalance distribution bis values different levels anesthesia proposed structure achieves convincing root mean square error 559 pm 104 mean absolute error 43 pm 087 well improvement area curve 15 average surpasses stateoftheart doa estimation methods doa values also discretized four levels anesthesia results demonstrate strong intersubject classification accuracy 887 outperforms conventional methods © 2013 ieee,attention mechanism convolutional neural network deep learning depth anesthesia electroencephalogram long shortterm memory,['Convolutional Neural Networks'],['Convolutional Neural Networks']
Zhang J.; Liu T.-F.; Shan H.; Wan Z.-Y.; Wang Z.; Viswanath O.; Paladini A.; Varrassi G.; Wang H.-Q.,Decompression Using Minimally Invasive Surgery for Lumbar Spinal Stenosis Associated with Degenerative Spondylolisthesis: A Review,2021,Pain and Therapy,lumbar spinal stenosis lss often occurs concurrently degenerative spondylolisthesis ds common disease elderly population affecting quality life aged people significantly notwithstanding frequently good effect conservative therapy lss minority patients ultimately require surgery surgery lss aims decompress narrowed spinal canals preservation spinal stability traditional open surgery either pure decompression decompression fusion considered effective treatment lss without ds however longterm clinical outcomes traditional open surgery still unclear moreover disadvantages conventional open surgery extensive examples including tissue injuries secondary instability limited outcomes significant reoperation rates development improvement surgical tools various minimally invasive spine surgery miss methods including indirect decompression techniques interspinous process devices ipds direct decompression techniques microscopic spine surgery endoscopic spine surgery ess updated enhancement ipds superion devices reported behave comparable physical function disability symptoms outcomes laminectomy decompression emerging technique miss ess beneficial hallmarks including minimal tissue injuries reduced complication rates shortened recovery periods thus gaining popularity recent years ess classified terms endoscopic hallmarks approaches predictably continuous development gradual maturity miss expected replace traditional open surgery widely surgical treatment lss associated ds future © 2021 authors,decompression degenerative spondylolisthesis endoscopic spine surgery interspinous process devices lumbar spinal stenosis lumbar spine minimally invasive spine surgery,[],[]
Lafferty F.; Al Siyabi H.; Sinadinos A.; Kenny K.; Mighell A.J.; Monteiro J.; Soldani F.; Parekh S.; Balmer R.C.,"The burden of dental care in Amelogenesis Imperfecta paediatric patients in the UK NHS: a retrospective, multi-centred analysis",2021,European Archives of Paediatric Dentistry,purpose burden dental care amelogenesis imperfecta ai well described condition results weak discoloured often sensitive teeth specialist paediatric care available ai patients uk treatment protocols care provided inconsistent aim study therefore analyse provision treatment burden care children families ai across four paediatric dentistry centres uk methods retrospective evaluation ai patient clinical records across four uk consultantled paediatric dentistry centres completed frequency duration care recorded along treatment experience inhalation sedation local general anaesthetic results total 138 records available analysis average patient age first referral 77 years range 1–16 years families travelled average 218 miles per appointment range 02–286 miles patients attended average 45 appointments per year 58 years total 652 experience local anaesthetic 275 inhalation sedation 319 general anaesthetic dental treatment including restorations extractions commonly required multiple teeth per patient conclusion ai carries high burden specialist dental care patients families specialist centres required provide longitudinal comprehensive care © 2021 european academy paediatric dentistry,amelogenesis imperfecta burden care paediatric dentistry,[],[]
Markich R.; Palussière J.; Catena V.; Cazayus M.; Fonck M.; Bechade D.; Buy X.; Crombé A.,"Radiomics complements clinical, radiological, and technical features to assess local control of colorectal cancer lung metastases treated with radiofrequency ablation",2021,European Radiology,objectives radiofrequency ablation rfa lung metastases colorectal origin improve patient survival quality life aim identify pre perrfa features predicting local control lung metastases following rfa methods casecontrol singlecenter retrospective study included 119 lung metastases treated rfa 48 patients median age 60 years clinical technical radiological data early ct scan 48 h retrieved ct scan preprocessing 64 radiomics features extracted prerfa early control ct scans logrank tests used detect categorical variables correlating postrfa local tumor progressionfree survival ltpfs radiomics prognostic scores rps developed reproducible radiomics features using montecarlo crossvalidated lasso cox regressions results twentysix 119 218 nodules demonstrated local progression median delay 112 months univariate analysis four nonradiomics variables correlated postrfaltpfs nodule size 15 mm p 0001 chosen electrode difference covered array nodule diameter 20 mm nonexpandable electrode p 003 perrfa intraalveolar hemorrhage iah p 0002 nodule location ablation zone seen contact borders p 0005 highest prognostic performance reached multivariate model including rps built 4 radiomics features prerfa early revaluation ct scans crossvalidated concordance index 074 rps remained independent predictor crossvalidated hr 349 95 confidence interval 176 – 696 conclusions technical radiological radiomics features lung metastases rfa ablation zone 48 h help discriminate nodules risk local progression could benefit complementary local procedure key points • highest prognostic performance predict postrfa ltpfs reached parsimonious model including radiomics score built 4 radiomics features • nodule size difference electrode diameter use nonexpandable electrode perrfa hemorrhage tumor seen contact ablation zone borders 48h ct correlated postrfa ltpfs © 2021 european society radiology,colorectal neoplasms lung neoplasms machine learning radiology interventional tomography xray computed,[],['Machine Learning']
Sabetian P.; Sadat-Nejad Y.; Yoo P.B.,Classification of directionally specific vagus nerve activity using an upper airway obstruction model in anesthetized rodents,2021,Scientific Reports,electrical signals peripheral nervous system potential provide necessary motor sensory autonomic information implementing closedloop control neuroprosthetic neuromodulatory systems however developing methods recover information encoded signals significant challenge goal test feasibility measuring physiologically generated nerve action potentials classified sensory motor signals tetrapolar recording nerve cuff electrode used measure vagal nerve vn activity rodent model upper airway obstruction effect upper airway occlusions vn activity related respiration rnp calculated compared 4 different cases 1 intact vn 2 vn transection proximal recording electrode 3 vn transection distal recording electrode 4 transection vn proximal distal electrode employed support vector machine svm model gaussian kernel learn model capable classifying efferent afferent waveforms obtained tetrapolar electrode vivo results showed rnp values decreased significantly obstruction 917 ± 31 782 ± 34 cases intact vn proximal transection respectively contrast significant changes cases vn transection distal end ends electrode svm model yielded 858 accuracy distinguishing motor sensory signals feasibility measuring lownoise directionallysensitive neural activity using tetrapolar nerve cuff electrode along use svm classifier shown future experimental work chronic implant studies needed support clinical translatability © 2021 authors,,['Support Vector Machine'],[]
Mallow P.J.; Belk K.W.,Cost-utility analysis of single nucleotide polymorphism panel-based machine learning algorithm to predict risk of opioid use disorder,2021,Journal of Comparative Effectiveness Research,aim conduct costutility analysis novel genetic diagnostic test oudtest risk developing opioid use disorder elective orthopedic surgery patients materials methods simulation model assessed costeffectiveness qualityadjusted lifeyears qalys oudtest private insurer selfinsured employer perspectives 5year time horizon hypothetical patient population results oudtest found cost less increase qalys 5year period private insurance savings us2510 qalys 002 selfinsured employers us2682 qalys 002 oudtest dominant strategy 711 private insurance 727 selfinsured employer model iterations sensitivity analyses revealed robust results except physician compliance conclusion oudtest expected costeffective solution personalizing postsurgical pain management orthopedic patients © 2021 future medicine ltd,costutility analysis opioid use disorder orthopedics oud risk prediction snp,[],[]
Fawcett W.J.; Klein A.A.,Anaesthesia and peri-operative medicine over the next 25 years,2021,Anaesthesia,abstract available,artificial intelligence genomics health workforce perioperative medicine telemedicine,[],[]
Wingert T.; Lee C.; Cannesson M.,"Machine Learning, Deep Learning, and Closed Loop Devices—Anesthesia Delivery",2021,Anesthesiology Clinics,abstract available,artificial intelligence closed loop devices deep learning machine learning neural networks,[],['Machine Learning']
Altshuler D.; Yu K.; Papadopoulos J.; Dabestani A.,Is P&T Ready to Add Rapid Cycle Analytics to Formulary?,2021,Hospital Pharmacy,purpose intent article evaluate novel approach using rapid cycle analytics real world evidence optimize improve medication evaluation process help formulary decision making process reducing time clinicians summary pharmacy therapeutics pt committee within health system responsible evaluating medication requests formulary addition members pharmacy staff prepare drug monograph medication use evaluation mue allocate precious clinical resources review patient charts assess efficacy value explored novel approach evaluate value intravenous acetaminophen iv apap formulary admittance new methodology called rapid cycle analytics assist hospitals meeting andor exceeding minimum criteria formulary maintenance defined joint commission standards particular study assessed effectiveness iv apap total hip arthroplasty tha total knee arthroplasty tka procedures assessed correlation samestay opioid utilization average length inpatient stay post anesthesia care unit pacu time conclusion able explore improve organization ’ approach evaluating medications partnering external analytics expert help organize normalize data robust yet time efficient manner additionally able use significantly larger external data set point reference able perform detailed analytical exercise thousands encounters internally using data warehouse 130 million patients point reference short time improved depth assessment well reducing valuable clinical resources allocated mues allow direct patient care clinically realworld datarich analytics model necessary foundation using artificial augmented intelligence ai make realtime formulary drug selection decisions © authors 2020,benchmarking data analytics drugmedical use evaluation formulary managementpt rapid cycle analytics real world evidence,['Decision-making'],[]
Ra J.S.; Li T.; Li Y.,A novel spectral entropy-based index for assessing the depth of anaesthesia,2021,Brain Informatics,anaesthesia state temporary controlled loss awareness induced medical operations accurate assessment depth anaesthesia doa helps anesthesiologists avoid awareness surgery keep recovery period short however existing doa algorithms limitations robust enough different patients time delay assessment study develop reliable doa measurement method predenoised electroencephalograph eeg signals divided ten frequency bands α β1 β2 β3 β4 β βγ γ δ θ features extracted different frequency bands using spectral entropy se methods se betagamma frequency band 215–385 hz se beta frequency band show highest correlation rsquared value 08458 07312 respectively popular doa index bispectral index bis research new doa index developed based two se features monitoring doa highest pearson correlation coefficient comparing bis index testing data 0918 average 080 addition proposed index shows earlier reaction bis index patient goes deep anaesthesia moderate anaesthesia means suitable realtime doa assessment case poor signal quality sq bis index exhibits inflexibility cases poor sq new proposed index shows reliable assessment results reflect clinical observations © 2021 authors,depth anaesthesia eeg linear regression machine learning spectral entropy,[],"['Linear Regression', 'Machine Learning']"
Ichesco E.; Peltier S.J.; Mawla I.; Harper D.E.; Pauer L.; Harte S.E.; Clauw D.J.; Harris R.E.,Prediction of Differential Pharmacologic Response in Chronic Pain Using Functional Neuroimaging Biomarkers and a Support Vector Machine Algorithm: An Exploratory Study,2021,Arthritis and Rheumatology,objective increasing demand prediction chronic pain treatment outcomes using machinelearning models order improve suboptimal pain management exploratory study used baseline brain functional connectivity patterns chronic pain patients fibromyalgia fm predict whether patient would respond differentially either milnacipran pregabalin 2 drugs approved us food drug administration treatment fm methods fm patients participated 2 separate doubleblind placebocontrolled crossover studies one evaluating milnacipran n 15 one evaluating pregabalin n 13 functional magnetic resonance imaging rest performed treatment measure intrinsic functional brain connectivity several brain regions involved pain processing support vector machine algorithm used classify fm patients responders defined ≥20 improvement clinical pain either milnacipran pregabalin results connectivity patterns involving posterior cingulate cortex pcc dorsolateral prefrontal cortex dlpfc individually classified pregabalin responders versus milnacipran responders 77 accuracy performance classification improved pcc dlpfc connectivity patterns combined resulting 92 classification accuracy results related confounding factors including head motion scanner sequence hardware status connectivity patterns failed differentiate drug nonresponders across 2 studies conclusion findings indicate brain functional connectivity patterns used machinelearning framework differentially predict clinical response pregabalin milnacipran patients chronic pain findings highlight promise machine learning pain prognosis treatment prediction © 2021 pfizer arthritis rheumatology published wiley periodicals llc behalf american college rheumatology,,"['Support Vector Machine', 'Machine Learning']",[]
Saab R.; Wu B.P.; Rivas E.; Chiu A.; Lozovoskiy S.; Ma C.; Yang D.; Turan A.; Sessler D.I.,Failure to detect ward hypoxaemia and hypotension: contributions of insufficient assessment frequency and patient arousal during nursing assessments,2021,British Journal of Anaesthesia,background postoperative hypotension hypoxaemia common often unrecognised intermittent nursing vital signs hypotensive hypoxaemic episodes might missed occur scheduled measurements process taking vital signs arouses patients temporarily improves arterial blood pressure ventilation therefore estimated fraction desaturation hypotension episodes overlap nursing assessments would therefore usually missed also evaluated effect taking vital signs blood pressure oxygen saturation methods estimated fraction desaturated episodes arterial oxygen saturation 90 least 90 time within 30 continuous minutes hypotensive episodes map 70 mm hg 15 continuous minutes overlap nursing assessments patients recovering noncardiac surgery also evaluated changes time nursing visits results among 782 patients identified 878 hypotensive episodes 2893 desaturation episodes 79 hypotensive episodes 82 desaturation episodes occur within 10 min nursing assessment would therefore usually missed mean bp oxygen saturation improve clinically meaningful amounts nursing vital sign assessments conclusions hypotensive desaturation episodes mostly missed vital sign assessments surgical wards sparse rather falsely negative assessment process increases blood pressure oxygen saturation continuous vital sign monitoring detect disturbances potentially giving clinicians time intervene critical events occur © 2021 british journal anaesthesia,anaesthesia hypotension hypoxaemia nursing postoperative complications ward monitoring,[],[]
Chen H.; Gao J.; Zhao D.; Wang H.; Song H.; Su Q.,Review of the research progress in deep learning and biomedical image analysis till 2020; [深度学习与生物医学图像分析2020年综述],2021,Journal of Image and Graphics,medical big data mainly include electronic health record data medical imaging data genetic information data among medical imaging data takes medical data currently one problems researchers computer science greatly concerned apply medical big data clinical practiceartificial intelligence ai provides good way address problem ai algorithms particularly deep learning demonstrated remarkable progress imagerecognition tasks historically radiology practice trained physicians visually assess medical images detection characterization monitoring diseases ai methods excel automatically recognizing complex patterns imaging data providing quantitative rather qualitative assessments radiographic characteristics methods ranging convolutional neural networks variational autoencoders found myriad applications medical image analysis field propelling forward rapid pace review combining recent work latest research progress big data analysis medical images 2020 summarized theory main process evaluation results multiple deep learning algorithms fields medical image analysis including magnetic resonance imaging mri pathology imaging ultrasound imaging electrical signals digital radiography molybdenum target diabetic eye imaging using deep learning mri one main research areas medical image analysis existing research literature includes alzheimers disease mri parkinsons disease mri brain tumor mri prostate cancer mri cardiac mri mri also divided twodimensional threedimensional image analysis especially threedimensional data insufficient data volume leads problems overfitting large calculations slow training medical ultrasound also known diagnostic sonography ultrasonography diagnostic imaging technique therapeutic application ultrasound used create image internal body structures tendons muscles joints blood vessels internal organs aims find source disease exclude pathology practice examining pregnant women using ultrasound called obstetric ultrasonography early development application clinical ultrasonography ultrasonography uses sound waves higher frequencies audible humans 20 000 hz ultrasonic images also known sonograms made sending ultrasound pulses tissue using probe ultrasound pulses echo tissues different reflection properties recorded displayed image many different types images formed common bmode image brightness displays acoustic impedance twodimensional crosssection tissue types display blood flow tissue motion time location blood presence specific molecules stiffness tissue anatomy threedimensional region pathology gold standard diagnosing diseases especially digital image pathologywe specifically discuss ai combined digital pathology images diagnosis electroencephalography eeg electrophysiological monitoring method record electrical activity brain typically noninvasive electrodes placed along scalp however invasive electrodes sometimes used example electrocorticography sometimes called intracranial eeg eeg often used diagnose epilepsy causes abnormalities eeg readings also used diagnose sleep disorders depth anesthesia coma encephalopathies brain death eeg used firstline method diagnosis tumors stroke focal brain disorders use decreased advent highresolution anatomical imaging techniques mri computed tomography ct despite limited spatial resolution eeg continues valuable tool research diagnosis one mobile techniques available offers millisecondrange temporal resolution possible ct positron emission tomography pet mri electrocardiographyecg ekg process producing electrocardiogram graph voltage versus time electrical activity heart using electrodes placed skin electrodes detect small electrical changes consequence cardiac muscle depolarization followed repolarization cardiac cycle heartbeat changes normal ecg pattern occur numerous cardiac abnormalities including cardiac rhythm disturbances eg atrial fibrillation ventricular tachycardia inadequate coronary artery blood flow eg myocardial ischemia myocardial infarction electrolyte disturbances eg hypokalemia hyperkalemiawe analyzed advantages disadvantages existing algorithms important difficult points field medical imaging introduced application intelligent imaging deep learning field big data analysis early disease diagnosis current algorithms field medical imaging made considerable progress still lot room development also focus optimization improvement different algorithms different subfields variety segmentation classification indicators eg dice iou accuracy recall rate look forward future development hotspots field deep learning developed rapidly field medical imaging broad prospects development plays important role early diagnosis diseases effectively improve work efficiency doctors reduce burden moreover important theoretical research practical application value © 2021 editorial office journal image graphics right reserved,deep learning magnetic resonance imagingmri pathology review target segmentation ultrasound,"['Convolutional Neural Networks', 'Autoencoders', 'Variational Autoencoders']",[]
Neves S.E.; Chen M.J.; Ku C.M.; Karan S.; Dilorenzo A.N.; Schell R.M.; Lee D.E.; Diachun C.A.B.; Jones S.B.; Mitchell J.D.,Using Machine Learning to Evaluate Attending Feedback on Resident Performance,2021,Anesthesia and Analgesia,background highquality highutility feedback allows development improvement plans trainees current manual assessment quality feedback time consuming subjective propose use machine learning rapidly distinguish quality attending feedback resident performance methods using preexisting databank 1925 manually reviewed feedback comments 4 anesthesiology residency programs trained machine learning models predict whether comments contained 6 predefined feedback traits actionable behavior focused detailed negative feedback professionalismcommunication specific predict utility score comment scale 15 comments ≥4 feedback traits classified highquality comments ≥4 utility scores classified highutility otherwise comments considered lowquality lowutility respectively used rapidminer studio rapidminer inc boston data science platform train validate score performance models results models predicting presence feedback traits accuracies 744822 predictions utility category 821 accurate 892 sensitivity 898 class precision lowutility predictions predictions quality category 785 accurate 861 sensitivity 850 class precision lowquality predictions fifteen 20 hours spent research assistant prior experience machine learning become familiar software create models review performance predictions made program read data applied models generated predictions within minutes contrast recent manual feedback scoring effort author took 15 hours manually collate score 200 comments course 2 weeks conclusions harnessing potential machine learning allows rapid assessment attending feedback resident performance using predictive models rapidly screen lowquality lowutility feedback aid programs improving feedback provision globally individual faculty © 2021 lippincott williams wilkins rights reserved,,['Machine Learning'],[]
McCann-Pineo M.; Ruskin J.; Rasul R.; Vortsman E.; Bevilacqua K.; Corley S.S.; Schwartz R.M.,Predictors of emergency department opioid administration and prescribing: A machine learning approach,2021,American Journal of Emergency Medicine,introduction opioid epidemic altered normative clinical perceptions addressing acute chronic pain particularly within emergency department ed setting providers confronted balancing pain management potential abuse study aims examine patient sociodemographic ed clinical characteristics comprehensively determine predictors opioid administration ed visit edrx prescribing upon discharge dcrx methods ed visit data patients ≥18 years old national hospital ambulatory medical care survey nhamcs 2014 2017 used opioid prescriptions determined utilizing lexicon narcotic drug classifications visit characteristics studied included sociodemographic variables ed clinical variables chief complaint discharge diagnosis machine learning methods used determine predictors edrx dcrx weighted logistic regressions performed using selected predictors results 44227 ed visits identified patients tended female 574 white 742 average age 464 years se 03 weighted proportions edrx dcrx 232 189 respectively strongest predictors edrx ct scan ordered 218 95 ci 184–258 abdominal pain 193 95 ci159–234 back pain 181 95 ci145–227 tooth pain 694 95 ci 440–1094 fracture injury diagnoses 376 95 ci 272–519 strongest predictors dcrx conclusions findings demonstrate utility machine learning understanding clinical predictors opioid administration prescribing ed potential informing standardized prescribing recommendations guidelines © 2020,analgesics emergency department hospital machine learning opioid opioid epidemic,"['Logistic Regression', 'Machine Learning']",['Machine Learning']
Aiassa S.; Ros P.M.; Hanitra M.I.N.; Tunzi D.; Martina M.; Carrara S.; Demarchi D.,Smart Portable Pen for Continuous Monitoring of Anaesthetics in Human Serum with Machine Learning,2021,IEEE Transactions on Biomedical Circuits and Systems,continuous monitoring anaesthetics infusion demanded anaesthesiologists help defining personalized dose hence reducing risks side effects propose first piece technology tailored explicitly close loop anaesthesiologist patient continuous drug monitoring direct detection drugs achieved electrochemical techniques several options present literature measure propofol widely used anaesthetics still sensors proposed enable insitu detection provide information continuously based bulky costly lab equipment paper present novel smart penshaped electronic system continuous monitoring propofol human serum system consists needleshaped sensor quasi digital frontend smart machine learning data processing single wireless batteryoperated embedded device featuring bluetooth low energy ble communication system tested characterized real undiluted human serum 37 circc device features limit detection 38 mum meeting requirement target application electronics system 59 smaller 81 less power consuming wrt stateoftheart using smart machine learning classification data processing guarantees twenty continuous measure © 20072012 ieee,anaesthesia electrochemical sensor embedded device machine learning ml therapeutic drug monitoring tdm,['Machine Learning'],['Machine Learning']
"Olson K.A.; Fleming R.Y.D.; Fox A.W.; Grimes A.E.; Mohiuddin S.S.; Robertson H.T.; Moxham J.; Wolf J.S., Jr",The Enhanced Recovery After Surgery (ERAS) Elements that Most Greatly Impact Length of Stay and Readmission,2021,American Surgeon,background enhanced recovery surgery eras protocols shown decrease length stay los improve patient outcomes wide variety surgical fields however barriers exist preventing implementation elements hypothesize subset eras elements influential los readmission following colorectal surgery study design retrospective review 840 patients performed compliance 24 eras components evaluated two independent machinelearning statistical algorithms employed determine subset eras elements impactful los 3 days hospital readmission results increasing compliance eras elements inverse linear relationship los open vs minimally invasive surgery associated increased los early mobilization multimodal pain management elements protective increased los readmissions increase number morphine milligram equivalents mmeday subset patients underwent minimally invasive procedures multimodal pain control less 16 mme per day least likely 23 3day los patients underwent open procedure less 15 eras elements completed likely 84 3day los conclusion increasing compliance eras protocols minimally invasive procedures decrease los readmission overall subset components—multimodal pain control limited opioid use early mobilization—was associated decreased los readmission study provides guidance eras elements emphasized © authors 2020,colorectal general surgery minimally invasive surgery surgical quality,[],[]
Vatansever S.; Schlessinger A.; Wacker D.; Kaniskan H.Ü.; Jin J.; Zhou M.-M.; Zhang B.,Artificial intelligence and machine learning-aided drug discovery in central nervous system diseases: State-of-the-arts and future directions,2021,Medicinal Research Reviews,neurological disorders significantly outnumber diseases therapeutic areas however developing drugs central nervous system cns disorders remains challenging area drug discovery accompanied long timelines high attrition rates rapid growth biomedical data enabled advanced experimental technologies artificial intelligence ai machine learning ml emerged indispensable tool draw meaningful insights improve decision making drug discovery thanks advancements ai ml algorithms aimldriven solutions unprecedented potential accelerate process cns drug discovery better success rate review comprehensively summarize aimlpowered pharmaceutical discovery efforts implementations cns area introducing aiml models well conceptualization data preparation outline applications aiml technologies several key procedures drug discovery including target identification compound screening hitlead generation optimization drug response synergy prediction de novo drug design drug repurposing review current stateoftheart aimlguided cns drug discovery focusing blood–brain barrier permeability prediction implementation therapeutic discovery neurological diseases finally discuss major challenges limitations current approaches possible future directions may provide resolutions difficulties © 2020 authors medicinal research reviews published wiley periodicals llc,alzheimers anesthesia artificial intelligence bloodbrain barrier cns depression disease subtyping drug design drug discovery machine learning neurological diseases pain treatment parkinsons schizophrenia target identification,"['Decision-making', 'Machine Learning']",['Machine Learning']
Verdonck M.; Carvalho H.; Berghmans J.; Forget P.; Poelaert J.,Exploratory outlier detection for acceleromyographic neuromuscular monitoring: Machine learning approach,2021,Journal of Medical Internet Research,background perioperative quantitative monitoring neuromuscular function patients receiving neuromuscular blockers become internationally recognized absolute core necessity modern anesthesia care kinetic nature artifactual recordings acceleromyographybased neuromuscular monitoring devices unusual generate great deal cynicism among anesthesiologists constituting obstacle toward widespread adoption outlier analysis techniques monitoring devices learn detect flag signal abnormalities outlier analysis anomaly detection refers problem finding patterns data conform expected behavior objective study motivated development smartphone app intended neuromuscular monitoring based combined accelerometric angular hand movement data paired comparison stage app existing acceleromyography monitoring devices noted results devices always concur study aims engineer set features enable detection outliers form erroneous trainoffour tof measurements acceleromyographicbased device features tested potential detection erroneous tof measurements developing outlier detection algorithm methods data set encompassing 533 highsensitivity tof measurements 35 patients created based multicentric open label trial purposebuilt accelero gyroscopicbased neuromuscular monitoring app basic set features extracted based raw data second set features purpose engineered based tof pattern characteristics two costsensitive logistic regression cslr models deployed evaluate performance features final output developed models binary classification indicating tof measurement outlier results total 7 basic features extracted based raw data another 8 features engineered based tof pattern characteristics model training testing based separate data sets one 319 measurements 18 outliers second 214 measurements 12 outliers f1 score 95 ci 086 048097 cslr model engineered features significantly larger cslr model basic features 029 017053 p001 conclusions set engineered features corresponding incorporation outlier detection algorithm potential increase overall neuromuscular monitoring data consistency integrating outlier flagging algorithms within neuromuscular monitors could potentially reduce overall acceleromyographybased reliability issues © michaël verdonck hugo carvalho johan berghmans patrice forget jan poelaert originally published journal medical internet research httpswwwjmirorg 06062021 openaccess article distributed terms creative commons attribution license httpscreativecommonsorglicensesby40 permits unrestricted use distribution reproduction medium provided original work first published journal medical internet research properly cited complete bibliographic information link original publication httpswwwjmirorg well copyright license information must included,acceleromyography anesthesiology machine learning monitoring devices monitors neuromuscular neuromuscular monitoring outlier analysis postoperative residual curarization trainoffour,['Logistic Regression'],['Machine Learning']
Teichmann D.; Hallmann A.; Wolfart S.; Teichmann M.,Identification of dental pain sensation based on cardiorespiratory signals,2021,Biomedizinische Technik,aim study investigate feasibility detection brief periods pain sensation based cardiorespiratory signals dental pain triggers twenty patients underwent dental treatment reported pain events pressing push button ecg ppg thoracic effort signals simultaneously recorded potential painindicating features calculated physiological data sample length 6 used supervised learning random forest pain detector best feature combination determined feature forward selection best feature combination comprises nine feature groups consisting four respiratory five cardiac related groups final algorithm achieved sensitivity 87 specificity 63 auc 0828 using supervised learning possible train algorithm differentiate short time intervals pain pain solely based cardiorespiratory signals onsite realtime detection rating pain sensations would allow precise individuum treatmenttailored administration local anesthesia severe phases pain could paused avoided would allow comfortable treatment yield better patient compliance © 2021 de gruyter rights reserved,machine learning pain detection physiological signals,['Random Forest'],['Machine Learning']
Gungor I.; Gunaydin B.; Oktar S.O.; M.Buyukgebiz B.; Bagcaz S.; Ozdemir M.G.; Inan G.,A real-time anatomy ıdentification via tool based on artificial ıntelligence for ultrasound-guided peripheral nerve block procedures: an accuracy study,2021,Journal of Anesthesia,aimed assess accuracy artificial intelligence aibased realtime anatomy identification software specifically developed ease image interpretation intended ultrasoundguided peripheral nerve block ugpnb forty healthy participants 20 women 20 men enrolled perform interscalene supraclavicular infraclavicular transversus abdominis plane tap blocks ultrasound guidance using ai software anesthesiology trainees block practice trainee software indicates 100 scan success block associated anatomic landmarks raw labeled ultrasound images saved assessed validated using 5point scale expert validators trainees reached 100 scan success accuracy scores validators noted correlation analysis used whether relationship r according demographics gender age body mass index bmi block type exist bmi kgm2 age year participants 222 ± 3 322 ± 525 respectively assessment scores validators blocks similar male female individuals mean assessment scores validators significantly different according age bmi except tap block inversely correlated age bmi p 001 ai technology successfully interpret anatomical structures realtime sonography assisting young anesthesiologists ugpnb practice © 2021 japanese society anesthesiologists,artificial intelligence peripheral nerve block regional anesthesia ultrasound,[],[]
Abel J.H.; Badgeley M.A.; Meschede-Krasa B.; Schamberg G.; Garwood I.C.; Lecamwasam K.; Chakravarty S.; Zhou D.W.; Keating M.; Purdon P.L.; Brown E.N.,Machine learning of EEG spectra classifies unconsciousness during GABAergic anesthesia,2021,PLoS ONE,current anesthesiology practice anesthesiologists infer state unconsciousness without directly monitoring brain drug nd patientspecific electroencephalographic eeg signatures anesthesiainduced unconsciousness identified previously applied machine learning approaches construct classification models realtime tracking unconscious state anesthesiainduced unconsciousness used crossvalidation select train best performing models using 33159 2s segments eeg data recorded 7 healthy volunteers received increasing infusions propofol responding stimuli directly assess unconsciousness crossvalidated models unconsciousness performed well tested 13929 2s eeg segments 3 leftout volunteers collected conditions median volunteer aucs 099099 models showed strong generalization tested cohort 27 surgical patients receiving solely propofol collected separate clinical dataset different circumstances using different hardware median patient aucs 095098 model predictions corresponding actions taken anesthesiologist cases performance also strong 17 patients receiving sevoflurane alone addition propofol median aucs 088092 results indicate eeg spectral features predict unconsciousness even tested different anesthetic acts similar neural mechanism high performance predictions unconsciousness accurately monitor anesthetic state approach may used engineer infusion pumps intelligibly respond patients neural activity copyright © 2021 abel et al open access article distributed terms creative commons attribution license permits unrestricted use distribution reproduction medium provided original author source credited,,['Machine Learning'],[]
